title,Russian Translation ,Turkish Translation ,content,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
,,,,,,,,,,,,,,
aback,сзади,pupada,geri,0,0,neu,0,0,0,0,0,0,0,0
abacus,счеты,abaküs,abakus,0,0,neu,0,0,0,0,0,0,0,tru
abandon,отказаться от,terketmek,tərk etmək,0,neg,0,0,0,0,fea,0,sad,0,0
abandoned,заброшенный,terkedilmiş,tərk edilmiş,0,neg,0,ang,0,0,fea,0,sad,0,0
abandonment,отказ,terk,imtina,0,neg,0,ang,0,0,fea,0,sad,sur,0
abate,отпускать,azalmak,azalmaq,0,0,neu,0,0,0,0,0,0,0,0
abatement,уменьшение,azaltma,azalma,0,0,neu,0,0,0,0,0,0,0,0
abba,авва,abba,abba,pos,0,0,0,0,0,0,0,0,0,0
abbot,аббат,başrahip,keşiş,0,0,neu,0,0,0,0,0,0,0,tru
abbreviate,сокращать,kısaltmak,qısaltmaq,0,0,neu,0,0,0,0,0,0,0,0
abbreviation,сокращение,kısaltma,ixtisar,0,0,neu,0,0,0,0,0,0,0,0
abdomen,живот,karın,qarın,0,0,neu,0,0,0,0,0,0,0,0
abdominal,брюшной,Karın,qarın,0,0,neu,0,0,0,0,0,0,0,0
abduction,похищение,kaçırma,qaçırma,0,neg,0,0,0,0,fea,0,sad,sur,0
aberrant,отклоняющийся,anormal,səhv,0,neg,0,0,0,0,0,0,0,0,0
aberration,аберрация,aberasyon,sapma,0,neg,0,0,0,dis,0,0,0,0,0
abeyance,неизвестности,askıda,itaətkarlıq,0,0,neu,0,0,0,0,0,0,0,0
abhor,ненавидеть,nefret etmek,iyrənc,0,neg,0,ang,0,dis,fea,0,0,0,0
abhorrent,отвратительный,iğrenç,iyrənc,0,neg,0,ang,0,dis,fea,0,0,0,0
abide,соблюдать,abide,qalmaq,0,0,neu,0,0,0,0,0,0,0,0
ability,способность,yetenek,qabiliyyət,pos,0,0,0,0,0,0,0,0,0,0
abject,презренный,sefil,iyrənc,0,neg,0,0,0,dis,0,0,0,0,0
ablation,абляция,ablasyon,ablasyon,0,0,neu,0,0,0,0,0,0,0,0
ablaze,пылать,ışıl ışıl,alovlandırmaq,0,0,neu,0,0,0,0,0,0,0,0
abnormal,ненормальный,anormal,anormal,0,neg,0,0,0,dis,0,0,0,0,0
aboard,на борту,gemiye,gəmidə,0,0,neu,0,0,0,0,0,0,0,0
abode,жилище,ikametgâh,məskən,0,0,neu,0,0,0,0,0,0,0,0
abolish,отменять,ortadan kaldırmak,ləğv etmək,0,neg,0,ang,0,0,0,0,0,0,0
abolition,отмена,kaldırılma,ləğv,0,neg,0,0,0,0,0,0,0,0,0
abominable,отвратительный,iğrenç,iyrənc,0,neg,0,0,0,dis,fea,0,0,0,0
abomination,мерзость,nefret,iyrənclik,0,neg,0,ang,0,dis,fea,0,0,0,0
aboriginal,абориген,yerli,yerli,0,0,neu,0,0,0,0,0,0,0,0
abort,выкинуть,iptal etmek,abort etmək,0,neg,0,0,0,0,0,0,0,0,0
abortion,аборт,kürtaj,abort,0,neg,0,0,0,dis,fea,0,sad,0,0
abortive,абортивный,başarısız,abort,0,neg,0,0,0,0,0,0,sad,0,0
abound,изобиловать,boldur,bol,0,0,neu,0,0,0,0,0,0,0,0
abovementioned,вышеупомянутый,Yukarıda sözü edilen,yuxarıda qeyd olunan,pos,0,0,0,0,0,0,0,0,0,0
abrasion,истирание,aşınma,aşınma,0,neg,0,0,0,0,0,0,0,0,0
abroad,за рубежом,yurt dışında,xaricdə,0,0,neu,0,0,0,0,0,0,0,0
abrogate,отменять,iptal,ləğv etmək,0,neg,0,0,0,0,0,0,0,0,0
abrupt,крутой,ani,qəfil,0,0,neu,0,0,0,0,0,0,sur,0
abruptly,резко,aniden,Kobudcasına,0,0,neu,0,0,0,0,0,0,0,0
abscess,абсцесс,apse,absesi,0,neg,0,0,0,0,0,0,sad,0,0
absence,отсутствие,yokluk,yoxluq,0,neg,0,0,0,0,fea,0,sad,0,0
absent,отсутствовать,yok,yox,0,neg,0,0,0,0,0,0,sad,0,0
absentee,отсутствующий,görevi başında bulunmayan kimse,yoxa çıxan,0,neg,0,0,0,0,0,0,sad,0,0
absenteeism,абсентеизм,devamsızlık,devamsızlık,0,neg,0,0,0,0,0,0,0,0,0
absinthe,абсент,pelin,absinte,0,0,neu,0,0,0,0,0,0,0,0
absolute,абсолютная,kesin,mütləq,pos,0,0,0,0,0,0,0,0,0,0
absolution,отпущение грехов,günahların bağışlanması,bağışlanma,pos,0,0,0,0,0,0,joy,0,0,tru
absorbed,поглощенная,emilen,udulmuş,pos,0,0,0,0,0,0,0,0,0,0
absorbent,абсорбент,emici,emici,0,0,neu,0,0,0,0,0,0,0,0
absorbing,поглощающий,emici,udma,0,0,neu,0,0,0,0,0,0,0,0
absorption,поглощение,emme,udma,0,0,neu,0,0,0,0,0,0,0,0
abstain,воздерживаться,kaçınmak,çəkinmək,0,0,neu,0,0,0,0,0,0,0,0
abstention,воздержание,kaçınma,bitərəflik,0,0,neu,0,0,0,0,0,0,0,0
abstinence,воздержание,kaçınma,çəkinmə,0,0,neu,0,0,0,0,0,0,0,0
abstract,абстрактный,özet,mücərrəd,0,0,neu,0,0,0,0,0,0,0,0
abstraction,абстракция,soyutlama,mücərrədlik,0,0,neu,0,0,0,0,0,0,0,0
absurd,абсурд,saçma,absurd,0,neg,0,0,0,0,0,0,0,0,0
absurdity,нелепость,saçmalık,absurdluq,0,neg,0,0,0,0,0,0,0,0,0
abundance,изобилие,bereket,bolluq,pos,neg,0,0,ant,dis,0,joy,0,0,tru
abundant,обильный,bol,bol,pos,0,0,0,0,0,0,joy,0,0,0
abuse,злоупотребление,taciz,sui -istifadə,0,neg,0,ang,0,dis,fea,0,sad,0,0
abutment,опора,dayanak,dayaq,0,0,neu,0,0,0,0,0,0,0,0
aby,абы,aby,aby,0,0,neu,0,0,0,0,0,0,0,0
abysmal,ужасный,dipsiz,uçurum,0,neg,0,0,0,0,0,0,sad,0,0
abyss,пропасть,uçurum,uçurum,0,neg,0,0,0,0,fea,0,sad,0,0
academic,учебный,akademik,akademik,pos,0,0,0,0,0,0,0,0,0,tru
academy,академия,akademi,akademiya,pos,0,0,0,0,0,0,0,0,0,0
accede,присоединяться,razı olmak,qoşulmaq,0,0,neu,0,0,0,0,0,0,0,0
accelerate,ускорять,hızlandırmak,sürətləndirmək,0,0,neu,0,ant,0,0,0,0,0,0
acceleration,ускорение,hızlanma,sürətlənmə,0,0,neu,0,0,0,0,0,0,0,0
accent,акцент,aksan,vurğu,0,0,neu,0,0,0,0,0,0,0,0
accentuate,акцентировать,vurgulamak,vurğu etmək,0,0,neu,0,0,0,0,0,0,0,0
accept,принимать,kabul etmek,qəbul etmək,0,0,neu,0,0,0,0,0,0,0,0
acceptable,приемлемый,kabul edilebilir,məqbul,pos,0,0,0,0,0,0,0,0,0,0
acceptance,принятие,kabul,qəbul,pos,0,0,0,0,0,0,0,0,0,0
access,доступ,giriş,Giriş,0,0,neu,0,0,0,0,0,0,0,0
accessible,доступной,ulaşılabilir,əlçatan,pos,0,0,0,0,0,0,0,0,0,0
accession,вступление,katılım,qoşulma,0,0,neu,0,0,0,0,0,0,0,0
accessory,аксессуар,aksesuar,Aksesuar,0,0,neu,0,0,0,0,0,0,0,0
accident,авария,kaza,qəza,0,neg,0,0,0,0,fea,0,sad,sur,0
accidental,случайный,tesadüfi,təsadüfən,0,neg,0,0,0,0,fea,0,0,sur,0
accidentally,случайно,kazara,təsadüfən,0,0,neu,0,0,0,0,0,0,sur,0
accolade,акколада,rabıta,mükafatlandırmaq,pos,0,0,0,ant,0,0,joy,0,sur,tru
accommodate,вмещать,yerleştirmek,yerləşdirmək,0,0,neu,0,0,0,0,0,0,0,0
accommodation,жилье,Konaklama,yaşayış,pos,0,0,0,0,0,0,0,0,0,0
accompaniment,сопровождение,eşlik,müşayiət,pos,0,0,0,ant,0,0,joy,0,0,tru
accompany,сопровождать,eşlik,müşayiət etmək,0,0,neu,0,0,0,0,0,0,0,0
accompanying,сопровождающий,Eşlik eden,müşayiət edən,0,0,neu,0,0,0,0,0,0,0,0
accomplice,сообщник,suç ortağı,şərik,0,0,neu,0,0,0,0,0,0,0,0
accomplish,выполнять,başarmak,yerinə yetirmək,pos,0,0,0,0,0,0,joy,0,0,0
accomplished,осуществляется,başarılı,tamamlandı,pos,0,0,0,0,0,0,joy,0,0,0
accomplishment,достижение,başarı,nailiyyət,pos,0,0,0,0,0,0,0,0,0,0
accord,соглашение,anlaşma,razılıq,pos,0,0,0,0,0,0,0,0,0,tru
accordance,соответствие,uyum,uyğun,0,0,neu,0,0,0,0,0,0,0,0
accordion,аккордеон,akordeon,qarmon,0,0,neu,0,0,0,0,0,0,0,0
account,счет,hesap,hesab,0,0,neu,0,0,0,0,0,0,0,tru
accountability,подотчетность,sorumluluk,hesabatlılıq,pos,0,0,0,0,0,0,0,0,0,tru
accountable,отчитываться,sorumlu,cavabdehdir,pos,0,0,0,0,0,0,0,0,0,tru
accountant,бухгалтер,muhasebeci,mühasib,0,0,neu,0,0,0,0,0,0,0,tru
accounting,учет,muhasebe,mühasibat,0,0,neu,0,0,0,0,0,0,0,0
accounts,счета,hesapları,hesablar,0,0,neu,0,0,0,0,0,0,0,tru
accredited,аккредитованный,resmen tanınmış,akkreditə olunmuşdur,pos,0,0,0,0,0,0,0,0,0,tru
accretion,аккреция,toplanma,yığılma,0,0,neu,0,0,0,0,0,0,0,0
accrue,нарастать,tahakkuk,yığmaq,0,0,neu,0,0,0,0,0,0,0,0
accueil,Accueil,accueil,accueil,pos,0,0,0,0,0,0,0,0,0,0
accumulate,накапливать,biriktirmek,toplamaq,0,0,neu,0,0,0,0,0,0,0,0
accumulation,накопление,birikim,akkumulyasiya,0,0,neu,0,0,0,0,0,0,0,0
accuracy,точность,doğruluk,dəqiqlik,0,0,neu,0,0,0,0,0,0,0,0
accurate,точный,doğru,dəqiq,pos,0,0,0,0,0,0,0,0,0,tru
accursed,проклятая,melun,lənətlənmiş,0,neg,0,ang,0,0,fea,0,sad,0,0
accusation,обвинение,suçlama,ittiham,0,neg,0,ang,0,dis,0,0,0,0,0
accusative,винительный,,ittihamçı,0,neg,0,0,0,0,0,0,0,0,0
accused,обвиняемый,sanık,ittiham olunur,0,neg,0,ang,0,0,fea,0,0,0,0
accuser,обвинитель,suçlayan kimse,ittihamçı,0,neg,0,ang,0,0,fea,0,0,0,0
accusing,обвинение,suçlayan,ittiham etmək,0,neg,0,ang,0,0,fea,0,0,0,0
accustomed,привыкший,alışık,öyrəşmiş,0,0,neu,0,0,0,0,0,0,0,0
ace,туз,as,as,pos,0,0,0,0,0,0,0,0,0,0
acetic,уксусный,asetik,sirkə,0,0,neu,0,0,0,0,0,0,0,0
ache,боль,ağrı,ağrı,0,neg,0,0,0,0,0,0,sad,0,0
achieve,достигать,başarmak,nail olmaq,pos,0,0,0,0,0,0,joy,0,0,tru
achievement,достижение,başarı,nailiyyət,pos,0,0,0,ant,0,0,joy,0,0,tru
aching,болящий,ağrıyan,ağrıyan,0,neg,0,0,0,0,0,0,sad,0,0
acid,кислота,asit,turşu,0,neg,0,0,0,0,0,0,0,0,0
acidity,кислотность,asidite,turşuluq,0,0,neu,0,0,0,0,0,0,0,0
acknowledge,признавать,kabul,etiraf etmək,0,0,neu,0,0,0,0,0,0,0,0
acknowledged,признанный,kabul edilen,etiraf etdi,0,0,neu,0,0,0,0,0,0,0,0
acknowledgment,подтверждение,alındı,etiraf,pos,0,0,0,0,0,0,0,0,0,0
acme,верх,doruk,acme,0,0,neu,0,0,0,0,0,0,0,0
acoustic,акустическая,akustik,akustik,0,0,neu,0,0,0,0,0,0,0,0
acoustics,акустика,akustik,akustika,0,0,neu,0,0,0,0,0,0,0,0
acquaint,познакомить,tanıtmak,tanış olmaq,0,0,neu,0,0,0,0,0,0,0,0
acquaintance,знакомство,tanıdık,tanışlıq,0,0,neu,0,0,0,0,0,0,0,0
acquainted,знакомый,tanışmış,tanış,0,0,neu,0,0,0,0,0,0,0,0
acquiescence,согласие,uysallık,razılıq,0,0,neu,0,0,0,0,0,0,0,0
acquire,приобрести,kazanmak,əldə etmek,pos,0,0,0,0,0,0,0,0,0,0
acquiring,приобретение,edinme,əldə etmək,pos,0,0,0,ant,0,0,0,0,0,0
acquisition,приобретение,edinme,alınması,0,0,neu,0,0,0,0,0,0,0,0
acquisitions,поглощений,satın almalar,satınalmalar,0,0,neu,0,0,0,0,0,0,0,0
acreage,площадь,yüzölçümü,əkin sahəsi,0,0,neu,0,0,0,0,0,0,0,0
acres,акров,dönüm,akr,0,0,neu,0,0,0,0,0,0,0,0
acrobat,акробат,akrobat,akrobat,pos,0,0,0,0,0,fea,joy,0,0,tru
act,акт,hareket,hərəkət etmək,0,0,neu,0,0,0,0,0,0,0,0
acting,действующий,oyunculuk,aktyorluq,0,0,neu,0,0,0,0,0,0,0,0
action,действие,eylem,hərəkət,pos,0,0,0,0,0,0,0,0,0,0
actionable,действенные,dava edilebilir,təsirli,0,neg,0,ang,0,dis,0,0,0,0,0
active,активный,aktif,aktiv,0,0,neu,0,0,0,0,0,0,0,0
activity,деятельность,etkinlik,fəaliyyət,0,0,neu,0,0,0,0,0,0,0,0
actor,актер,aktör,aktyor,0,0,neu,0,0,0,0,0,0,0,0
actual,фактический,gerçek,faktiki,pos,0,0,0,0,0,0,0,0,0,0
actuality,действительность,güncellik,aktuallıq,0,0,neu,0,0,0,0,0,0,0,0
actuary,актуарий,aktüer,aktuar,0,0,neu,0,0,0,0,0,0,0,0
acuity,Острота,keskinlik,kəskinlik,pos,0,0,0,0,0,0,0,0,0,0
acumen,проницательность,zekâ,zəka,pos,0,0,0,0,0,0,0,0,0,0
acupuncture,иглоукалывание,akupunktur,akupunktur,0,0,neu,0,0,0,0,0,0,0,0
acutely,остро,akut,kəskin şəkildə,0,0,neu,0,0,0,0,0,0,0,0
adage,пословица,atasözü,hikmət,0,0,neu,0,0,0,0,0,0,0,0
adamant,непреклонный,hoşgörüsüz,inadkar,0,0,neu,0,0,0,0,0,0,0,0
adapt,адаптироваться,uyarlamak,uyğunlaşmaq,pos,0,0,0,0,0,0,0,0,0,0
adaptable,адаптации,uyarlanabilir,uyğunlaşa bilən,pos,0,0,0,0,0,0,0,0,0,0
add,Добавить,eklemek,əlavə et,0,0,neu,0,0,0,0,0,0,0,0
added,добавленной,katma,əlavə etdi,0,0,neu,0,0,0,0,0,0,0,0
addendum,добавление,Zeyilname,əlavə,0,0,neu,0,0,0,0,0,0,0,0
adder,сумматор,engerek,toplayıcı,0,neg,0,ang,0,dis,fea,0,sad,0,0
addiction,зависимость,bağımlılık,asılılıq,0,neg,0,0,0,0,0,0,0,0,0
addition,дополнение,ilave,əlavə,0,0,neu,0,0,0,0,0,0,0,0
additional,дополнительный,ek,əlavə,0,0,neu,0,0,0,0,0,0,0,0
additive,добавка,katkı,aşqar,0,0,neu,0,0,0,0,0,0,0,0
address,адрес,adres,ünvan,0,0,neu,0,0,0,0,0,0,0,0
addressee,адресат,alıcı,ünvançı,0,0,neu,0,0,0,0,0,0,0,0
addresses,адреса,adresler,ünvanlar,pos,0,0,0,ant,0,0,0,0,0,0
adept,знаток,usta,usta,pos,0,0,0,0,0,0,0,0,0,0
adequacy,адекватность,yeterlik,adekvatlıq,pos,0,0,0,0,0,0,0,0,0,0
adequate,адекватный,yeterli,adekvat,0,0,neu,0,0,0,0,0,0,0,0
adhere,придерживаться,yapışmak,yapışmaq,0,0,neu,0,0,0,0,0,0,0,0
adherence,соблюдение,bağlılık,bağlılıq,0,0,neu,0,0,0,0,0,0,0,0
adherent,приверженец,yapışık,yapışqan,0,0,neu,0,0,0,0,0,0,0,0
adhering,придерживаясь,yapışan,yapışan,0,0,neu,0,0,0,0,0,0,0,tru
adhesion,адгезия,adhesion,yapışma,0,0,neu,0,0,0,0,0,0,0,0
adhesive,клей,yapıştırıcı,yapışqan,0,0,neu,0,0,0,0,0,0,0,0
adieu,прощайте,elveda,adieu,0,0,neu,0,0,0,0,0,0,0,0
adipose,жировой,yağ,yağ,0,neg,0,0,0,0,0,0,0,0,0
adjacency,соседство,yakınlık,bitişiklik,0,0,neu,0,0,0,0,0,0,0,0
adjacent,смежный,bitişik,bitişik,0,0,neu,0,0,0,0,0,0,0,0
adjective,прилагательное,sıfat,sifət,0,0,neu,0,0,0,0,0,0,0,0
adjoining,смежный,bitişik,bitişik,0,0,neu,0,0,0,0,0,0,0,0
adjourn,откладывать,ertelemek,təxirə salmaq,0,0,neu,0,0,0,0,0,0,0,0
adjournment,перерыв,erteleme,təxirə salınma,0,0,neu,0,0,0,0,0,0,0,0
adjudicate,судить,hakemlik etmek,mühakimə etmək,0,neg,0,0,0,0,fea,0,0,0,0
adjudication,вынесение судебного решения,hüküm,mühakimə,0,0,neu,0,0,0,0,0,0,0,0
adjunct,адъюнкт,yardımcı,köməkçi,pos,0,0,0,0,0,0,0,0,0,0
adjust,регулировать,ayarlamak,tənzimləmək,0,0,neu,0,0,0,0,0,0,0,0
adjustment,регулировка,ayarlama,tənzimləmə,0,0,neu,0,0,0,0,0,0,0,0
adjuvant,адъювант,adjuvan,köməkçi,0,0,neu,0,0,0,0,0,0,0,0
administer,управлять,yönetmek,idarə etmək,0,0,neu,0,0,0,0,0,0,0,0
administration,администрация,yönetim,idarəetmə,0,0,neu,0,0,0,0,0,0,0,0
administrative,административный,idari,inzibati,0,0,neu,0,0,0,0,0,0,0,tru
admirable,замечательный,takdire değer,heyranedici,pos,0,0,0,0,0,0,joy,0,0,tru
admiral,адмирал,amiral,admiral,pos,0,0,0,0,0,0,0,0,0,tru
admiralty,адмиралтейство,amiraller,admirallıq,0,0,neu,0,0,0,0,0,0,0,0
admiration,восхищение,hayranlık,heyranlıq,pos,0,0,0,0,0,0,joy,0,0,tru
admire,восхищаться,hayran,heyran olmaq,pos,0,0,0,0,0,0,0,0,0,tru
admirer,поклонник,hayran,heyran,pos,0,0,0,0,0,0,0,0,0,0
admissibility,допустимость,kabul edilebilirlik,məqbulluq,0,0,neu,0,0,0,0,0,0,0,0
admissible,допустимый,kabul edilebilir,məqbul,pos,0,0,0,0,0,0,0,0,0,tru
admission,вход,kabul,qəbul,0,0,neu,0,0,0,0,0,0,0,0
admit,признавать,itiraf etmek,etiraf etmək,0,0,neu,0,0,0,0,0,0,0,0
admittance,вход,giriş,qəbul,0,0,neu,0,0,0,0,0,0,0,0
admitted,признался,kabul edilmiş,etiraf etdi,0,0,neu,0,0,0,0,0,0,0,0
admitting,допускающий,itiraf,etiraf,0,0,neu,0,0,0,0,0,0,0,0
admixture,примесь,karışım,qarışıq,0,0,neu,0,0,0,0,0,0,0,0
admonition,увещевание,öğüt,nəsihət,0,neg,0,0,0,0,fea,0,0,0,0
ado,суета,gürültü,ado,0,0,neu,0,0,0,0,0,0,0,0
adobe,саман,kerpiç,keramika,0,0,neu,0,0,0,0,0,0,0,0
adolescence,подростковый возраст,gençlik,yeniyetməlik,0,0,neu,0,0,0,0,0,0,0,0
adolescent,подросток,genç,yeniyetmə,0,0,neu,0,0,0,0,0,0,0,0
adopt,принять,benimsemek,övladlığa götürmək,0,0,neu,0,0,0,0,0,0,0,0
adoption,принятие,benimseme,övladlığa götürmə,0,0,neu,0,0,0,0,0,0,0,0
adorable,прелестный,çok güzel,sevimli,pos,0,0,0,0,0,0,joy,0,0,0
adoration,обожание,hayranlık,sitayiş,pos,0,0,0,0,0,0,joy,0,0,tru
adore,обожать,tapınmak,pərəstiş etmək,pos,0,0,0,ant,0,0,joy,0,0,tru
adorn,украшать,süslemek,bəzəmək,0,0,neu,0,0,0,0,0,0,0,0
adornment,украшение,süsleme,bəzək,0,0,neu,0,0,0,0,0,0,0,0
